category	confidence	name_sim	first_match	coauth_jaccard	ref_jaccard	shared_papers	papers_a	papers_b	total_papers	in_500	name_a	name_b	decision
LIKELY_SAME	0.504	0.857	0.7	0.000	0.000	0	1	1	2	1	Y Wang	Yue Wang	
LIKELY_SAME	0.504	0.857	0.7	0.000	0.000	0	1	1	2	1	Xian-Guang Wang	Xiaogang Wang	
LIKELY_SAME	0.504	0.857	0.7	0.000	0.000	0	2	1	3	2	Yi Wang	Yu Wang	
LIKELY_SAME	0.504	0.857	0.7	0.000	0.000	0	1	1	2	1	Ying Cui	Yi Cui	
LIKELY_SAME	0.504	0.857	0.7	0.000	0.000	0	1	1	2	0	Ye Duan	Yu Duan	
LIKELY_SAME	0.504	0.857	0.7	0.000	0.000	0	2	1	3	0	Martin Schmidt	Morten Schmidt	
LIKELY_SAME	0.504	0.857	0.7	0.000	0.000	0	2	1	3	0	Anirban Chakraborty	Anit Chakraborty	
LIKELY_SAME	0.503	0.800	0.7	0.029	0.041	0	19	1	20	10	Michał Januszewski	Marcin Januszewski	
LIKELY_SAME	0.502	0.846	0.7	0.000	0.000	0	3	1	4	0	Xiao‐Jing Wang	Xiaogang Wang	
LIKELY_SAME	0.502	0.846	0.7	0.000	0.000	0	1	1	2	0	Chenghao Chen	Chun‐Chao Chen	
LIKELY_SAME	0.501	0.778	0.7	0.000	0.108	0	2	1	3	0	Xi Chen	Xuejin Chen	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	1	Xing Liu	Xinxing Liu	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	2	3	1	Tingkai Liu	Ting Liu	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Sifan Wang	Shan Wang	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Linlin Wang	Lin Wang	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	2	1	3	0	Liang Wang	Long Wang	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Wenjie Yang	Wei Yang	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Yijun Chen	Ying Chen	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	1	Yiyin Zhou	Ying Zhou	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Ye Zhang	Yueyi Zhang	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Hong Zhang	Hao Zhang	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Yuxin Zhang	Yu Zhang	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Yu Zhang	Yueyi Zhang	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	0	Jiaquan Lin	Jian Lin	
LIKELY_SAME	0.501	0.842	0.7	0.000	0.000	0	1	1	2	1	Jia Huang	Jing Huang	
REVIEW	0.500	0.824	0.7	0.000	0.026	0	2	1	3	2	Yi Wang	Yimin Wang	
REVIEW	0.500	0.839	0.7	0.000	0.000	0	1	1	2	1	Brian A. Williams	Bryan Williams	
REVIEW	0.499	0.800	0.7	0.000	0.062	0	4	1	5	3	M. E. J. Newman	MEJ Newman	
REVIEW	0.498	0.833	0.7	0.000	0.000	0	1	1	2	0	Hai Li	Hao Li	
REVIEW	0.498	0.833	0.7	0.000	0.000	0	1	1	2	0	Young I. Cho	Youngbin Cho	
REVIEW	0.498	0.741	0.7	0.000	0.154	0	4	1	5	3	Malcolm P. Young	M. P. Young	
REVIEW	0.497	0.828	0.7	0.000	0.000	0	2	1	3	1	Davis Bennett	David A. Bennett	
REVIEW	0.496	0.824	0.7	0.000	0.000	0	2	1	3	2	Yi Wang	Yu-Li Wang	
REVIEW	0.496	0.824	0.7	0.000	0.000	0	2	1	3	2	Yi Wang	Yajie Wang	
REVIEW	0.496	0.824	0.7	0.000	0.000	0	1	1	2	0	Yu Wang	Yu-Li Wang	
REVIEW	0.496	0.824	0.7	0.000	0.000	0	1	1	2	0	Yue Wang	Yuan Wang	
REVIEW	0.496	0.824	0.7	0.000	0.000	0	1	1	2	1	Yi Chen	Yijun Chen	
REVIEW	0.496	0.824	0.7	0.000	0.000	0	1	1	2	0	Shu Sun	Shu‐Wei Sun	
REVIEW	0.496	0.824	0.7	0.000	0.000	0	8	1	9	0	Yong He	Yaodong He	
REVIEW	0.496	0.727	0.7	0.000	0.159	0	1	1	2	0	Ruixi Chen	Ritchie Chen	
REVIEW	0.495	0.700	0.7	0.000	0.200	0	1	1	2	0	Yuhan Wang	Yimin Wang	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	1	Xing‐Lou Yang	Xiong Yang	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	0	Xiong Yang	Xiaoran Yang	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	0	Ling‐Ling Chen	Lili Chen	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	0	Gaoqiang Chen	Gang Chen	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	0	Guanrong Chen	Gang Chen	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	0	Lin Zhang	Lingyun Zhang	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	0	Sujeong Kim	Seong‐Gi Kim	
DIFFERENT_PEOPLE	0.495	0.818	0.7	0.600	0.000	1	1	1	2	0	C Baigent	Colin Baigent	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	0	Shazia Alam	Sabina Alam	
REVIEW	0.495	0.818	0.7	0.000	0.000	0	1	1	2	0	Shazia Alam	Shadab Alam	
REVIEW	0.494	0.800	0.7	0.000	0.029	0	1	1	2	0	Jun Cao	Jing Cao	
REVIEW	0.494	0.800	0.7	0.000	0.028	0	2	1	3	0	Jan Funke	Julia Funke	
REVIEW	0.494	0.815	0.7	0.000	0.000	0	2	1	3	1	Scott M. Nelson	S. M. Nelson	
REVIEW	0.493	0.812	0.7	0.000	0.000	0	1	2	3	0	Manuel Serrano	M. Ángeles Serrano	
REVIEW	0.493	0.812	0.7	0.000	0.000	0	1	1	2	0	Kathryn E. Holt	Katherine B. Holt	
REVIEW	0.493	0.812	0.7	0.000	0.000	0	1	1	2	0	John J. Connors	Joseph M. Connors	
REVIEW	0.492	0.750	0.7	0.000	0.095	0	1	1	2	1	Y Wang	Yimin Wang	
REVIEW	0.491	0.667	0.7	0.000	0.231	0	4	1	5	3	Malcolm P. Young	MP Young	
REVIEW	0.491	0.778	0.7	0.000	0.043	0	2	1	3	0	Jing Liu	Jiamin Liu	
REVIEW	0.491	0.778	0.7	0.000	0.040	0	6	2	8	1	Yang‐Yu Liu	Yong Liu	
REVIEW	0.490	0.783	0.7	0.000	0.031	0	1	1	2	0	Chenghao Chen	Chang Chen	
REVIEW	0.490	0.690	0.7	0.111	0.000	0	12	2	14	8	Kenneth J. Hayworth	K Hayworth	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Jincun Li	Jun Li	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Hai Li	Haiwen Li	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Jinteng Li	Jiatong Li	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Yuxin Li	Yuan Li	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	6	1	7	1	Yang‐Yu Liu	Yuhang Liu	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	2	1	3	0	Jing Liu	Jun Liu	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Yuhang Liu	Yuting Liu	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Y Wang	Yuan Wang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	2	1	3	2	Yi Wang	Yue Wang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Lei Wang	Lu Wang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Haidong Wang	Han Wang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Yuan Wang	Yaonan Wang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Lu Wang	Lin Wang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Daseng Yang	Dong Yang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	2	2	4	2	Joseph F. Murray	John D. Murray	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	7	1	8	3	Fei Chen	Fenglei Chen	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Yaning Chen	Yali Chen	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Yuan Zhou	Yanfen Zhou	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	2	Lei Zhang	Lihua Zhang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Lihua Zhang	Lin Zhang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Yifeng Zhang	Ye Zhang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Xiaoqian Zhang	Xinan Zhang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Shao‐Cong Sun	Shao-Tang Sun	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Thouis R. Jones	Thomas B. Jones	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Zi-jian Huang	Zhimin Huang	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Gang Wen	Guanghui Wen	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Erik K. Alexander	E L Alexander	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	1	Lili Wan	Lei Wan	
REVIEW	0.490	0.800	0.7	0.000	0.000	0	1	1	2	0	Yuan Cao	Yue Cao	
REVIEW	0.489	0.783	0.7	0.000	0.023	0	1	1	2	0	Xiong Yang	Xiaoquan Yang	
REVIEW	0.489	0.762	0.7	0.000	0.056	0	1	1	2	0	Yuhan Wang	Yaonan Wang	
REVIEW	0.488	0.778	0.7	0.000	0.024	0	1	1	2	0	Xu Ding	Xiaoyu Ding	
DIFFERENT_PEOPLE	0.488	0.750	0.0	0.600	1.000	1	1	1	2	0	Fengting Huang	Jing Huang	
REVIEW	0.487	0.750	0.7	0.000	0.065	0	2	1	3	2	Yi Wang	Yuan Wang	
